,author1,author2,author1_unit,author2_unit,unit_city_code1,unit_city_code2,same_unit,author1_lng,author1_lat,author2_lng,author2_lat
0,李子江,黄泽华,广州工业大学,佛山市禅科发展有限公司,4401.0,,0,113.30654978988578,23.139209965161754,113.2105710563483,23.050411439775388
1,庞正,金林南,南京师范大学,河海大学,3201.0,3201.0,0,118.91668276855411,32.112189397026164,118.76602696333964,32.06136595084591
2,谢龙,詹献斌,北京大学,中共河南省委宣传部，河南郑州,1100.0,,0,116.31683256328296,39.99887680537622,101.62247338027404,34.740396071091155
3,杜金珉,郑凌云,暨南大学,中国人民银行,4401.0,1100.0,0,113.35615511843588,23.14100489495872,116.36586001191488,39.91657605385856
4,姜永宏,黄德鸿,广州市计划委员会,暨南大学,4401.0,4401.0,0,113.28115235753276,23.138498549787425,113.35615511843588,23.14100489495872
5,王千华,林晖,深圳大学,深圳国际高新技术产权交易所,4403.0,,0,113.94265141960156,22.539450041273607,114.10204800686712,22.547535977954073
6,谭世宝,曹国庆,香港理工大学,江西省社会科学院,8100.0,3601.0,0,-99.0,-99.0,114.03089852744777,22.655981918507194
7,谢晓尧,黄胜英,中山大学,中国长城资产管理公司,4401.0,1100.0,0,113.94959702797188,22.532794975255268,116.74658641078396,31.17777085952669
8,江达明,袁万福,中山大学,广州证券,4401.0,4401.0,0,113.94959702797188,22.532794975255268,113.2768545944828,23.128844009018025
9,刘娥平,陈锦清,中山大学,英国伦敦经济学院,4401.0,9000.0,0,113.94959702797188,22.532794975255268,114.02281970667701,22.659551695435642
